20220217 064400;14516.25;14518;14512.25;14515;276
20220217 064500;14515;14519;14513;14514;304
20220217 064600;14513.25;14513.25;14503.75;14505.25;483
20220217 064700;14504.75;14525.25;14504.5;14513.75;1649
20220217 064800;14513.5;14517.75;14507.75;14510.75;667
20220217 064900;14511.25;14514;14509.25;14511;239
20220217 065000;14511.5;14512.5;14509;14510.75;191
20220217 065100;14510.25;14519.5;14510;14518;333
20220217 065200;14517.5;14524;14516;14522;438
20220217 065300;14521.75;14523.5;14512.25;14513.5;346
20220217 065400;14513.75;14516.25;14512.5;14513.25;171
20220217 065500;14513.5;14518.75;14511.25;14516.75;436
20220217 065600;14518.5;14525.75;14516.25;14524.75;472
20220217 065700;14524.25;14528.75;14522.5;14523.75;593
20220217 065800;14523.75;14526;14519.5;14525;485
20220217 065900;14525.25;14529.75;14524;14525.25;515
20220217 070000;14525;14525.5;14517.5;14521.5;378
20220217 070100;14521;14534;14514;14531;1049
20220217 070200;14531.5;14534;14526.25;14530;699
20220217 070300;14530.25;14533.5;14526.75;14528.5;507
20220217 070400;14527.5;14535.5;14525.5;14529.75;520
20220217 070500;14529.75;14540.5;14528;14533.75;824
20220217 070600;14534;14535;14528;14532.25;530
20220217 070700;14532.25;14539;14531.5;14534.5;418
20220217 070800;14534;14542;14533.25;14537.25;536
20220217 070900;14537;14538.25;14533.75;14534;280
20220217 071000;14533.75;14533.75;14527.75;14530.5;368
20220217 071100;14530.25;14530.5;14524.5;14528.75;484
20220217 071200;14529;14529.5;14522.25;14528.25;452
20220217 071300;14528.5;14539;14525.25;14534;933
20220217 071400;14534;14537.5;14523.5;14531.25;608
20220217 071500;14531.25;14534.25;14528;14532;233
20220217 071600;14532;14533.25;14527.75;14530.5;337
20220217 071700;14530.75;14536.25;14526.25;14536.25;288
20220217 071800;14536.5;14538.25;14531.25;14533.5;233
20220217 071900;14533.25;14533.75;14528;14530;154
20220217 072000;14530;14538.5;14529.5;14533.5;261
20220217 072100;14533;14533;14527.75;14528.75;255
20220217 072200;14529;14533.25;14527.75;14529.5;180
20220217 072300;14529;14530.5;14524.75;14526.25;226
20220217 072400;14526;14529;14525.75;14528;152
20220217 072500;14528.25;14534;14527;14529;318
20220217 072600;14529.5;14532;14526;14530;141
20220217 072700;14529.75;14530;14526.75;14528.25;107
20220217 072800;14529;14530.75;14526.75;14528.25;129
20220217 072900;14528;14528.5;14519;14520.5;399
20220217 073000;14521.25;14526.5;14521.25;14522.75;251
20220217 073100;14522;14523.25;14517.25;14520.75;401
20220217 073200;14521.25;14525.5;14520.75;14525.25;212
20220217 073300;14524.75;14534.75;14523.25;14534.5;369
20220217 073400;14534;14534.5;14527.5;14529;338
20220217 073500;14528.75;14541.25;14527.75;14539;521
20220217 073600;14539;14541.5;14533.5;14534.5;333
20220217 073700;14534.5;14536;14533;14535;146
20220217 073800;14535.5;14540.25;14533.25;14538.5;344
20220217 073900;14538.5;14540;14534.75;14536.75;248
20220217 074000;14537;14537.5;14532.25;14532.75;277
20220217 074100;14532.5;14536.75;14531.5;14534;382
20220217 074200;14534.25;14535.75;14531;14531.75;310
20220217 074300;14531.75;14538;14530.5;14538;255
20220217 074400;14538.5;14539.75;14534.75;14538;340
20220217 074500;14537.75;14542;14536.25;14538.25;352
20220217 074600;14538.75;14542.25;14538.25;14542.25;156
20220217 074700;14541.75;14553;14541.5;14552.25;966
20220217 074800;14552.5;14559.75;14551;14555.5;975
20220217 074900;14555.5;14555.75;14549.5;14551.5;614
20220217 075000;14551.5;14554.5;14548.75;14549.5;464
20220217 075100;14550.25;14550.5;14546;14547;283
20220217 075200;14547.75;14547.75;14544;14547;391
20220217 075300;14546.5;14546.5;14541.25;14542.75;320
20220217 075400;14542.5;14542.5;14537.75;14539.25;321
20220217 075500;14538.75;14545.25;14536.25;14540;355
20220217 075600;14540.25;14545.75;14538.5;14544;171
20220217 075700;14543.5;14548.25;14540.75;14544.5;196
20220217 075800;14544;14544.25;14540.75;14541.25;116
20220217 075900;14541.25;14542.25;14530;14534.25;527
20220217 080000;14534.75;14546.5;14532.25;14546;395
20220217 080100;14545.75;14566.75;14545;14560;2530
20220217 080200;14560.5;14566.5;14552.25;14563;987
