No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
160,EMN,16.32B,19.20,11.42,1.30,1.56,2.67,22.76,17.66,-36.10%,8.91%,-9.20%,14.81%,-2.60%,123.36,2.21%,"388,757"
161,EMR,57.07B,20.49,17.20,1.96,3.08,5.45,12.08,38.02,18.10%,8.93%,9.30%,10.46%,4.70%,95.00,1.10%,"1,413,000"
162,ENPH,20.61B,140.97,36.38,9.04,14.91,29.92,14.78,81.11,-22.90%,28.03%,31.30%,15.60%,16.70%,154.25,7.17%,"1,867,212"
163,EOG,64.03B,21.93,10.64,0.30,4.12,3.03,14.92,12.69,-122.20%,23.49%,33.90%,73.84%,4.80%,110.64,-2.45%,"2,401,277"
164,EPAM,26.79B,59.37,38.34,2.08,7.94,10.36,21.15,71.70,23.70%,27.07%,28.10%,28.50%,23.80%,459.20,7.30%,"467,518"
165,EQIX,61.72B,140.95,87.65,3.81,9.51,5.69,44.76,-,-30.20%,38.00%,5.40%,37.00%,17.10%,678.70,1.39%,"196,924"
166,EQR,32.49B,25.10,49.41,3.86,13.18,3.03,818.27,107.04,-5.70%,19.03%,0.80%,6.50%,-1.30%,86.87,1.11%,"640,486"
167,ES,28.46B,23.88,20.03,3.79,2.96,1.96,322.63,-,26.00%,6.51%,5.10%,6.30%,2.30%,82.39,0.23%,"1,375,912"
168,ESS,20.65B,42.20,53.27,5.34,14.34,3.46,413.85,90.70,30.20%,13.60%,20.00%,7.90%,4.60%,320.62,1.35%,"117,747"
169,ETN,62.32B,28.51,18.34,1.53,3.17,3.80,94.42,56.91,-33.60%,10.70%,-3.70%,18.61%,-3.10%,155.58,2.24%,"1,013,211"
170,ETR,21.13B,16.89,16.48,2.81,1.85,1.87,21.13,15.76,9.60%,6.25%,55.20%,6.00%,-2.60%,104.00,-0.48%,"469,578"
171,ETSY,18.25B,41.88,39.75,0.93,8.18,33.88,22.34,30.48,272.90%,17.48%,45.80%,44.90%,44.50%,145.70,2.14%,"1,120,182"
172,EVRG,14.32B,16.19,17.52,3.16,2.58,1.53,566.12,-,-2.70%,-0.81%,5.40%,5.12%,14.80%,61.69,-0.35%,"717,449"
173,EW,68.27B,45.23,37.01,2.90,13.05,12.12,38.04,64.97,-21.00%,13.67%,11.70%,15.57%,12.00%,110.00,2.10%,"1,123,798"
174,EXC,41.20B,24.71,18.81,1.54,1.18,1.22,13.93,-,-33.30%,-20.14%,-4.60%,16.00%,2.30%,41.92,-0.68%,"3,872,598"
175,EXPD,18.57B,15.82,16.74,2.03,1.30,5.31,10.20,31.90,20.20%,-16.14%,11.10%,7.80%,8.90%,108.04,0.97%,"371,115"
176,EXPE,30.72B,-,18.35,-,4.24,14.73,7.13,9.99,90.50%,39.68%,-24.40%,22.80%,-0.40%,209.26,6.13%,"3,567,676"
177,EXR,26.26B,36.10,34.82,6.02,17.47,8.69,400.29,73.19,14.70%,5.92%,18.90%,6.00%,11.60%,193.79,-0.22%,"251,763"
178,F,72.03B,3.94,7.57,0.05,0.53,1.44,1.45,7.87,363.40%,11.83%,31.10%,74.15%,-2.10%,18.05,3.35%,"35,888,460"
179,FANG,22.74B,67.71,7.36,1.11,4.10,2.06,49.76,7.91,269.40%,58.66%,-27.70%,61.03%,44.50%,127.11,-2.58%,"1,426,314"
180,FAST,30.41B,32.39,26.65,5.12,5.06,9.81,128.73,-,7.40%,8.89%,13.20%,6.33%,8.70%,52.35,0.83%,"1,104,686"
181,FB,615.56B,15.79,14.59,0.74,5.22,4.82,12.82,15.74,36.40%,18.20%,31.60%,21.35%,33.70%,217.90,0.09%,"25,622,955"
182,FBHS,12.22B,16.13,12.41,1.73,1.60,4.03,26.54,23.73,29.10%,11.78%,16.00%,9.30%,5.90%,90.76,1.70%,"551,144"
183,FCX,63.95B,22.20,13.78,0.77,3.38,4.67,8.34,10.82,344.60%,-17.91%,15.30%,28.90%,-0.60%,43.17,1.68%,"8,933,075"
184,FDS,15.16B,37.99,29.27,3.92,9.31,13.71,21.39,41.22,7.40%,9.97%,4.80%,9.70%,7.10%,407.96,1.98%,"81,476"
185,FDX,62.67B,13.24,9.98,0.75,0.70,2.43,9.17,30.71,276.30%,10.66%,23.10%,17.73%,10.80%,233.85,2.36%,"1,059,083"
186,FE,22.11B,21.72,15.80,-,2.01,2.96,38.31,-,11.20%,6.35%,6.30%,-6.60%,-6.40%,40.76,0.04%,"1,661,416"
187,FFIV,12.07B,35.54,15.25,2.78,4.53,4.90,14.05,21.48,6.60%,19.44%,-0.20%,12.80%,5.50%,200.37,3.39%,"265,590"
188,FIS,68.97B,304.64,15.29,21.27,5.10,1.45,13.90,17.67,-61.90%,11.53%,-35.20%,14.32%,13.70%,101.92,-8.59%,"6,138,512"
189,FISV,65.81B,49.24,13.20,3.14,4.06,2.05,70.54,19.73,-18.00%,15.03%,-1.30%,15.69%,23.10%,97.04,-0.87%,"2,824,120"
